id_usuario;variante;convirtio;dispositivo;pais;duracion_sesion;timestamp
exp_user_0;tratamiento;0;mobile;Argentina;114.41;28/03/2025
exp_user_1;tratamiento;0;desktop;Mexico;170.03;15/01/2025
exp_user_2;control;1;mobile;Colombia;140.21;18/03/2025
exp_user_3;tratamiento;0;mobile;Colombia;151.45;3/06/2025
exp_user_4;tratamiento;0;desktop;Mexico;299.96;12/01/2025
exp_user_5;control;0;mobile;Mexico;206.7;26/01/2025
exp_user_6;control;0;desktop;Mexico;280.11;15/04/2025
exp_user_7;tratamiento;0;mobile;Argentina;28.47;18/03/2025
exp_user_8;tratamiento;0;desktop;Mexico;287.04;5/02/2025
exp_user_9;control;0;mobile;Argentina;258.91;11/02/2025
exp_user_10;control;0;mobile;Colombia;80.34;26/05/2025
exp_user_11;tratamiento;0;mobile;Colombia;30.64;21/05/2025
exp_user_12;control;0;desktop;Colombia;87.81;30/03/2025
exp_user_13;tratamiento;1;mobile;Mexico;75.19;3/06/2025
exp_user_14;control;0;mobile;Mexico;268.83;19/04/2025
exp_user_15;tratamiento;1;desktop;Mexico;108.15;28/05/2025
exp_user_16;control;1;mobile;Argentina;109.61;6/02/2025
exp_user_17;tratamiento;1;desktop;Argentina;102.83;8/01/2025
exp_user_18;control;0;mobile;Mexico;192.09;7/05/2025
exp_user_19;tratamiento;0;mobile;Argentina;226.21;17/04/2025
exp_user_20;tratamiento;0;mobile;Mexico;86.53;10/05/2025
exp_user_21;tratamiento;0;desktop;Argentina;175.76;27/03/2025
exp_user_22;control;1;desktop;Colombia;192.57;24/06/2025
exp_user_23;tratamiento;0;desktop;Argentina;124.11;4/01/2025
exp_user_24;tratamiento;0;desktop;Colombia;262.35;11/02/2025
exp_user_25;control;0;mobile;Argentina;193.33;22/03/2025
exp_user_26;control;0;desktop;Mexico;162.16;19/02/2025
exp_user_27;tratamiento;1;desktop;Colombia;241.84;11/01/2025
exp_user_28;control;0;mobile;Mexico;88.89;20/05/2025
exp_user_29;control;0;mobile;Argentina;122.61;24/06/2025
exp_user_30;control;0;desktop;Colombia;130.95;25/05/2025
exp_user_31;control;0;desktop;Colombia;32.61;23/04/2025
exp_user_32;tratamiento;1;desktop;Mexico;39.81;28/01/2025
exp_user_33;tratamiento;0;desktop;Mexico;180.05;26/01/2025
exp_user_34;tratamiento;0;desktop;Argentina;20.96;12/03/2025
exp_user_35;control;0;desktop;Mexico;51.75;23/04/2025
exp_user_36;control;0;desktop;Colombia;274.06;13/01/2025
exp_user_37;control;0;mobile;Argentina;106.43;1/01/2025
exp_user_38;tratamiento;0;desktop;Mexico;224.24;21/03/2025
exp_user_39;control;1;desktop;Mexico;51.27;11/05/2025
exp_user_40;tratamiento;1;desktop;Mexico;99.94;12/06/2025
exp_user_41;control;0;desktop;Argentina;279.97;24/02/2025
exp_user_42;tratamiento;1;mobile;Mexico;71.75;11/04/2025
exp_user_43;control;0;desktop;Mexico;148.48;9/01/2025
exp_user_44;control;0;desktop;Argentina;113.66;8/06/2025
exp_user_45;control;0;mobile;Argentina;86.19;6/06/2025
exp_user_46;control;0;mobile;Mexico;113.64;15/01/2025
exp_user_47;control;0;desktop;Colombia;47.93;4/04/2025
exp_user_48;tratamiento;0;mobile;Colombia;229;2/03/2025
exp_user_49;tratamiento;1;mobile;Mexico;252.74;6/06/2025
exp_user_50;tratamiento;1;desktop;Mexico;194.19;31/05/2025
exp_user_51;control;0;mobile;Argentina;25.39;23/01/2025
exp_user_52;control;0;desktop;Colombia;236.3;2/06/2025
exp_user_53;tratamiento;1;desktop;Colombia;203.95;2/02/2025
exp_user_54;tratamiento;0;desktop;Colombia;209;22/03/2025
exp_user_55;tratamiento;1;mobile;Argentina;185.61;23/03/2025
exp_user_56;tratamiento;0;desktop;Colombia;296.44;20/01/2025
exp_user_57;tratamiento;0;desktop;Colombia;153.25;21/04/2025
exp_user_58;control;1;desktop;Argentina;283.4;23/06/2025
exp_user_59;control;0;mobile;Argentina;55.11;22/04/2025
exp_user_60;control;0;mobile;Mexico;275.13;27/05/2025
exp_user_61;tratamiento;1;mobile;Colombia;164.53;28/03/2025
exp_user_62;tratamiento;1;mobile;Mexico;29.66;18/04/2025
exp_user_63;tratamiento;0;desktop;Argentina;98.48;8/04/2025
exp_user_64;tratamiento;0;mobile;Colombia;272.97;1/04/2025
exp_user_65;tratamiento;0;mobile;Argentina;167.39;17/02/2025
exp_user_66;tratamiento;1;mobile;Argentina;267.71;11/04/2025
exp_user_67;control;0;mobile;Mexico;55.24;23/04/2025
exp_user_68;control;1;mobile;Mexico;222.55;14/02/2025
exp_user_69;tratamiento;0;desktop;Argentina;127.31;12/06/2025
exp_user_70;tratamiento;0;mobile;Mexico;26.1;26/05/2025
exp_user_71;control;0;mobile;Argentina;247.74;21/02/2025
exp_user_72;tratamiento;0;desktop;Colombia;36.2;8/05/2025
exp_user_73;control;0;mobile;Colombia;167.76;3/01/2025
exp_user_74;control;0;mobile;Mexico;200.83;22/06/2025
exp_user_75;control;0;desktop;Colombia;151.28;1/05/2025
exp_user_76;tratamiento;0;mobile;Colombia;254.86;8/05/2025
exp_user_77;tratamiento;0;desktop;Colombia;272.07;21/01/2025
exp_user_78;control;1;desktop;Argentina;81.56;18/06/2025
exp_user_79;tratamiento;1;mobile;Argentina;58.29;23/06/2025
exp_user_80;tratamiento;0;desktop;Colombia;252.44;14/01/2025
exp_user_81;tratamiento;0;mobile;Colombia;220.58;10/02/2025
exp_user_82;control;1;mobile;Argentina;20.99;4/02/2025
exp_user_83;tratamiento;0;desktop;Colombia;178.9;28/03/2025
exp_user_84;control;1;desktop;Colombia;136.85;13/01/2025
exp_user_85;control;0;desktop;Mexico;20.47;4/01/2025
exp_user_86;tratamiento;0;mobile;Colombia;87.45;7/06/2025
exp_user_87;control;0;desktop;Mexico;99.4;17/05/2025
exp_user_88;control;0;desktop;Colombia;156.43;24/02/2025
exp_user_89;tratamiento;0;desktop;Mexico;86.34;15/06/2025
exp_user_90;control;0;desktop;Argentina;32.84;9/02/2025
exp_user_91;tratamiento;1;desktop;Argentina;258.44;25/03/2025
exp_user_92;tratamiento;0;desktop;Mexico;28.38;25/02/2025
exp_user_93;tratamiento;0;mobile;Argentina;212.59;1/04/2025
exp_user_94;tratamiento;0;desktop;Mexico;281.83;7/04/2025
exp_user_95;tratamiento;1;desktop;Argentina;22.66;4/06/2025
exp_user_96;tratamiento;0;desktop;Argentina;173.2;2/02/2025
exp_user_97;tratamiento;0;mobile;Mexico;218.75;6/04/2025
exp_user_98;tratamiento;0;desktop;Argentina;100.92;27/01/2025
exp_user_99;tratamiento;0;mobile;Argentina;133.12;2/05/2025
exp_user_100;control;0;mobile;Colombia;259.35;26/04/2025
exp_user_101;control;0;mobile;Argentina;118.3;25/05/2025
exp_user_102;tratamiento;0;mobile;Argentina;235.16;17/05/2025
exp_user_103;tratamiento;0;mobile;Mexico;194.18;18/04/2025
exp_user_104;control;0;desktop;Colombia;294.58;20/01/2025
exp_user_105;control;0;desktop;Argentina;177.04;23/06/2025
exp_user_106;control;0;desktop;Colombia;203.27;9/06/2025
exp_user_107;tratamiento;0;desktop;Argentina;72.05;27/02/2025
exp_user_108;control;0;desktop;Colombia;156.15;13/03/2025
exp_user_109;tratamiento;0;mobile;Argentina;167.14;16/05/2025
exp_user_110;control;0;mobile;Argentina;293.07;21/06/2025
exp_user_111;control;0;mobile;Argentina;276.75;9/03/2025
exp_user_112;tratamiento;0;desktop;Argentina;286.22;29/03/2025
exp_user_113;tratamiento;0;desktop;Mexico;238.6;16/03/2025
exp_user_114;control;0;desktop;Mexico;138.08;21/01/2025
exp_user_115;control;1;desktop;Mexico;278.23;21/06/2025
exp_user_116;control;0;desktop;Argentina;278.63;15/04/2025
exp_user_117;tratamiento;0;desktop;Colombia;298.05;21/03/2025
exp_user_118;control;0;mobile;Argentina;196.05;30/06/2025
exp_user_119;control;0;desktop;Colombia;283.71;28/05/2025
exp_user_120;tratamiento;1;desktop;Mexico;266.62;14/06/2025
exp_user_121;tratamiento;0;mobile;Colombia;105.65;30/04/2025
exp_user_122;tratamiento;0;mobile;Mexico;278.8;25/05/2025
exp_user_123;control;1;desktop;Mexico;292.76;11/05/2025
exp_user_124;tratamiento;0;mobile;Argentina;186.29;12/05/2025
exp_user_125;control;0;desktop;Mexico;201.47;25/02/2025
exp_user_126;control;0;mobile;Argentina;41.04;6/06/2025
exp_user_127;control;0;mobile;Colombia;60.48;8/05/2025
exp_user_128;tratamiento;1;mobile;Argentina;274.3;22/01/2025
exp_user_129;tratamiento;0;desktop;Argentina;127.4;19/03/2025
